id,combined_features,title
115427,"['macbeth'] ['hungarian', 'tv', 'version', 'play', 'shot', 'two', 'takes'] 10.0 ['Drama'] ['Drama'] ['Drama']",Macbeth
140489,"['mother', 'invention'] ['mockumentary', 'aspiring', 'inventor', 'dreams', 'winning', 'annual', 'young', 'inventor', 'award', 'problem', 'never', 'made', 'invention', 'works'] 10.0 ['Comedy'] ['Comedy'] ['Comedy']",The Mother Of Invention
248870,"['apology', 'elephants'] ['elephants', 'among', 'majestic', 'intelligent', 'creatures', 'earth', 'hundreds', 'years', 'suffered', 'hands', 'humans', 'narrated', 'lily', 'tomlin', 'documentary', 'short', 'traces', 'long', 'history', 'elephants', 'explores', 'many', 'problems', 'arise', 'brought', 'live', 'captivity', 'zoos', 'circuses'] 10.0 ['Documentary'] ['Documentary'] ['Documentary']",An Apology to Elephants
324578,"['butterfly'] ['butterfly', 'creature', 'symbolising', 'rebirth', 'new', 'beginning', 'epitomises', 'romina', 'germán', 'world', 'world', 'consists', 'two', 'parallel', 'realities', 'one', 'grow', 'siblings', 'desire', 'try', 'give', 'shape', 'love', 'without', 'sexual', 'fulfilment', 'young', 'man', 'woman', 'form', 'awkward', 'friendship', 'instead', 'succumbing', 'feelings', 'germán', 'finds', 'discordant', 'relationship', 'mariela', 'mariela', 'brother', 'interested', 'bruno', 'bruno', 'romina', 'wants', 'germán', 'playfully', 'alternating', 'two', 'realities', 'lovers', 'find', 'drawn', 'ever', 'new', 'couplings', 'order', 'explore', 'intuitive', 'feelings', 'cautiously', 'time', 'prepared', 'lose', 'everything'] 10.0 ['Fantasy' 'Romance' 'Drama' 'ScienceFiction'] ['Fantasy' 'Romance' 'Drama' 'ScienceFiction'] ['Fantasy' 'Romance' 'Drama' 'ScienceFiction']",Butterfly
224100,"['paw', 'project'] ['david', 'goliath', 'story', 'one', 'veterinarian', 'battle', 'protect', 'patients', 'tigers', 'lions', 'even', 'house', 'cats', 'big', 'corporations', 'big', 'corporate', 'money', 'shamelessly', 'anything', 'animals', 'increase', 'bottom', 'line', 'starts', 'grassroots', 'movement', 'fueled', 'passion', 'appears', 'losing', 'battle', 'unexpectedly', 'realizes', 'corporations', 'accidentally', 'left', 'giant', 'loophole', 'scramble', 'take', 'advantage', 'unforeseen', 'gift', 'leads', 'crusade', 'passing', 'legislation', 'protecting', 'animals', 'seven', 'cities', 'six', 'weeks'] 10.0 ['Documentary' 'History'] ['Documentary' 'History'] ['Documentary' 'History']",The Paw Project
261813,"['slaying', 'badger'] ['lance', 'armstrong', 'greg', 'lemond', 'first', 'american', 'win', 'tour', 'france', 'engrossing', 'documentary', 'lemond', 'looks', 'back', 'pivotal', 'tour', 'increasingly', 'vicious', 'rivalry', 'friend', 'teammate', 'mentor', 'bernard', 'hinault', 'reigning', 'tour', 'champion', 'brutal', 'competitor', 'known', 'badger', 'hinault', 'promised', 'help', 'lemond', 'first', 'victory', 'return', 'lemond', 'supporting', 'previous', 'year', 'sport', 'purports', 'reward', 'teamwork', 'really', 'every', 'man'] 10.0 ['Documentary'] ['Documentary'] ['Documentary']",Slaying the Badger
452166,"['reagan', 'show'] ['comprised', 'entirely', 'archival', 'footage', 'taken', 'years', 'reagan', 'show', 'looks', 'ronald', 'reagan', 'redefined', 'look', 'feel', 'means', 'potus'] 10.0 ['Documentary'] ['Documentary'] ['Documentary']",The Reagan Show
163795,"['guide'] ['nine', 'frustrated', 'young', 'architects', 'equally', 'frustrated', 'city', 'comedy', 'sexuality', 'athens', 'modern', 'greeks', 'iasonas', 'arrives', 'athens', 'starting', 'new', 'ambitious', 'career', 'architects', 'guide', 'group', 'consists', 'international', 'students', 'architecture', 'finishing', 'erasmus', 'thessaloniki', 'soon', 'iasonas', 'faces', 'contradicting', 'wishes', 'students', 'prefer', 'coffee', 'visit', 'graveyard', 'guide', 'acropolis', 'meanwhile', 'meets', 'back', 'best', 'friend', 'mirsini', 'trapped', 'friend', 'progressively', 'sees', 'less', 'less', 'friend', 'group', 'sees', 'less', 'less', 'guide', 'iasonas', 'give', 'answer', 'personal', 'questions', 'regarding', 'sexuality', 'career'] 10.0 ['Comedy'] ['Comedy'] ['Comedy']",The Guide
66787,"['mentor'] ['drama', 'power', 'famous', 'university', 'professor', 'holds', 'students', 'assistants'] 10.0 ['Drama'] ['Drama'] ['Drama']",Mentor
62503,"['almost', 'kings'] ['wanting', 'closer', 'connection', 'older', 'brother', 'freshman', 'ted', 'wheeler', 'seeks', 'initiation', 'group', 'called', 'kings', 'corruption', 'kings', 'revealed', 'ted', 'must', 'expose', 'ugly', 'truth', 'brother', 'idolized'] 10.0 ['Drama'] ['Drama'] ['Drama']",Almost Kings
260352,"['book', 'days'] ['film', 'rich', 'haunting', 'reinvention', 'medieval', 'life', 'never', 'loses', 'contemporary', 'perspective', 'plague', 'afflicts', 'village', 'world', 'seems', 'go', 'apocalypse', 'hatred', 'disease', 'presages', 'century'] 10.0 ['SinDato'] ['SinDato'] ['SinDato']",Book of Days
185273,"['bowery', 'battalion'] ['slip', 'sach', 'gang', 'bowery', 'boys', 'think', 'test', 'real', 'join', 'army'] 10.0 ['Comedy'] ['Comedy'] ['Comedy']",Bowery Battalion
163839,"['black', 'sheep', 'whitehall'] ['professor', 'teaching', 'correspondence', 'school', 'discovers', 'nazi', 'agent', 'trying', 'prevent', 'trade', 'treaty', 'signed', 'england', 'south', 'america'] 10.0 ['Comedy'] ['Comedy'] ['Comedy']",The Black Sheep of Whitehall
247447,"['willow', 'wind'] ['boy', 'breaks', 'window', 'school', 'sets', 'fix', 'storm'] 10.0 ['Drama'] ['Drama'] ['Drama']",Willow and Wind
352156,"['looking', 'grace'] ['rebellious', 'grace', 'takes', 'exasperated', 'mum', 'dad', 'enlist', 'help', 'detective', 'begin', 'long', 'drive', 'perth', 'west', 'australian', 'wheatbelt', 'try', 'find', 'journey', 'two', 'must', 'confront', 'realities', 'changing', 'relationship', 'one', 'another'] 10.0 ['Drama'] ['Drama'] ['Drama']",Looking for Grace
251630,"['kiss', 'midnight'] ['say', 'cobbler', 'children', 'go', 'barefoot', 'must', 'matchmaker', 'children', 'go', 'motherless', 'widower', 'father', 'moves', 'new', 'town', 'sets', 'computerized', 'matchmaking', 'business', 'two', 'girls', 'set', 'find', 'stepmother', 'create', 'dating', 'application', 'company', 'computer', 'cull', 'new', 'women', 'applicants', 'hand', 'pick', 'perfect', 'woman', 'force', 'computer', 'match', 'know', 'woman', 'picked', 'proprietor', 'matchmaking', 'service', 'town', 'planning', 'prove', 'computer', 'matching', 'incompetent'] 10.0 ['Romance' 'Family'] ['Romance' 'Family'] ['Romance' 'Family']",A Kiss at Midnight
